CustomerID,Province,Area,Phone,Multiple Lines,Combi Contract,Internet Speed,TV Subscription,Tenure,Monthly Charges,Total Charges,Payment Method,Extended Security,CustServ Calls,Churn
1512,LB,South,045-4039199,no,yes,250,Basic,8,53.5,428,Direct Debit,no,2,False.
0903,GD,Center,030-4034200,no,no,250,Basic,14,53.5,749,Direct Debit,no,2,False.
0928,GD,Center,030-4107789,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
2513,UT,Center,030-3606416,no,no,250,Basic,31,53.5,1658.5,Direct Debit,no,0,False.
0146,DR,North,050-3965790,no,yes,250,Basic,37,53.5,1979.5,Direct Debit,no,1,False.
2358,OV,Center,030-3979933,no,no,250,Basic,31,53.5,1658.5,Direct Debit,no,2,False.
2181,OV,Center,030-3292204,no,yes,500,Extra,25,68,1700,Manual Transfer,yes,2,False.
1167,LB,South,045-3306165,no,no,500,Extra,31,68,2108,Direct Debit,yes,1,False.
1981,NH,Center,030-3488679,no,yes,250,Basic,22,53.5,1177,Direct Debit,no,3,False.
2991,ZL,South,045-3302662,no,yes,50,Basic,56,53.5,2996,Direct Debit,no,2,False.
2095,NH,Center,030-3939424,no,yes,250,Basic,12,53.5,642,Direct Debit,no,2,False.
0357,FL,Center,030-3803974,no,no,250,Basic,37,53.5,1979.5,Direct Debit,no,2,False.
0150,DR,North,050-3985954,no,yes,250,Basic,18,53.5,963,Direct Debit,no,4,False.
3261,ZL,South,045-4016977,no,yes,1000,Super,9,88.5,796.5,iDeal,yes,0,False.
2551,UT,Center,030-3745301,no,no,500,Extra,13,68,884,Direct Debit,yes,1,False.
1330,LB,South,045-3633763,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
0031,DR,North,050-3408291,no,no,1000,Super,6,88.5,531,iDeal,yes,1,False.
0295,FL,Center,030-3599794,no,no,500,Extra,26,68,1768,Direct Debit,yes,1,False.
0954,GD,Center,030-4187055,no,yes,250,Basic,31,53.5,1658.5,Direct Debit,no,15,True.
0389,FL,Center,030-3912231,no,no,250,Basic,18,53.5,963,Direct Debit,no,2,False.
0034,DR,North,050-3419907,no,no,50,Basic,18,53.5,963,Direct Debit,no,1,False.
2581,UT,Center,030-3871535,no,yes,250,Basic,26,53.5,1391,Direct Debit,no,13,True.
0787,GD,Center,030-3672227,no,yes,500,Extra,9,68,612,Direct Debit,yes,2,False.
3020,ZL,South,045-3378618,no,yes,500,Extra,13,68,884,Direct Debit,yes,14,True.
2160,NH,Center,030-4153120,no,yes,250,Basic,35,53.5,1872.5,Direct Debit,no,2,False.
2022,NH,Center,030-3635947,no,no,250,Basic,9,53.5,481.5,Direct Debit,no,1,False.
1407,LB,South,045-3841549,no,no,250,Basic,26,53.5,1391,Direct Debit,no,1,False.
1952,NH,Center,030-3411594,no,no,1000,Super,35,88.5,3097.5,iDeal,yes,0,False.
3182,ZL,South,045-3798681,no,yes,250,Basic,22,53.5,1177,Direct Debit,no,11,True.
2657,UT,Center,030-4168697,no,no,250,Basic,4,53.5,214,Direct Debit,no,1,False.
1619,NB,South,045-3359501,no,no,500,Extra,60,68,4080,Manual Transfer,yes,2,False.
2159,NH,Center,030-4148718,no,yes,250,Basic,4,53.5,214,Direct Debit,yes,14,True.
2429,UT,Center,030-3296192,no,yes,1000,Super,17,88.5,1504.5,iDeal,yes,0,False.
0373,FL,Center,030-3857861,yes,no,250,Basic,19,53.5,1016.5,Direct Debit,no,0,False.
0732,GD,Center,030-3524182,no,yes,250,Basic,11,53.5,588.5,Direct Debit,no,3,False.
0348,FL,Center,030-3779932,no,no,250,Basic,13,53.5,695.5,Direct Debit,no,2,False.
1197,LB,South,045-3369053,no,yes,500,Extra,2,68,136,Direct Debit,yes,0,False.
0578,FR,North,050-3764284,no,yes,1000,Super,35,88.5,3097.5,iDeal,yes,2,False.
1495,LB,South,045-4007987,no,no,250,Basic,26,53.5,1391,Direct Debit,no,1,False.
0780,GD,Center,030-3641969,no,no,500,Extra,8,68,544,Direct Debit,yes,2,False.
0531,FR,North,050-3533994,no,no,50,Basic,5,53.5,267.5,Direct Debit,no,1,False.
0151,DR,North,050-3985970,yes,no,250,Basic,60,53.5,3210,Direct Debit,no,1,False.
2068,NH,Center,030-3824952,no,no,500,Extra,19,68,1292,Direct Debit,yes,2,False.
2789,ZH,Center,030-3593618,yes,no,500,Extra,22,68,1496,Direct Debit,yes,2,False.
